순위,포지션,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,포수,박대온,NC,0.4,2,6,5,2,2,1,0,0,3,1,0,0
2,포수,박세혁,NC,0.217,52,178,152,25,33,4,2,4,53,21,3,0
3,포수,안중열,NC,0.169,32,76,65,4,11,2,0,2,19,10,1,2
1,내야수,서호철,NC,0.333,53,200,183,30,61,11,3,1,81,26,2,3
2,내야수,박민우,NC,0.324,50,208,182,28,59,8,1,1,72,23,1,2
3,내야수,도태훈,NC,0.297,54,149,118,24,35,4,0,3,48,16,3,1
4,내야수,윤형준,NC,0.254,30,75,63,8,16,7,0,2,29,11,1,1
5,내야수,김주원,NC,0.241,61,231,199,30,48,4,1,6,72,26,3,0
6,내야수,박석민,NC,0.219,24,89,73,8,16,1,0,1,20,7,1,1
7,내야수,오영수,NC,0.202,33,119,99,11,20,4,1,3,35,14,4,3
8,내야수,김한별,NC,0.185,28,27,27,1,5,0,1,0,7,2,0,0
9,내야수,김수윤,NC,0,2,2,2,0,0,0,0,0,0,0,0,0
9,내야수,오태양,NC,0,21,3,3,4,0,0,0,0,0,0,0,0
9,내야수,최보성,NC,0,5,5,5,0,0,0,0,0,0,0,0,0
1,외야수,손아섭,NC,0.329,61,274,249,38,82,22,3,1,113,38,0,4
2,외야수,박건우,NC,0.295,60,263,224,32,66,11,2,6,99,36,0,0
3,외야수,권희동,NC,0.289,24,98,76,11,22,6,0,1,31,11,0,2
4,외야수,마틴,NC,0.284,38,165,141,21,40,7,1,5,64,23,0,2
5,외야수,천재환,NC,0.283,49,116,106,9,30,4,0,2,40,13,2,1
6,외야수,김성욱,NC,0.23,32,102,87,16,20,5,0,4,37,10,2,1
7,외야수,한석현,NC,0.218,25,61,55,5,12,1,0,0,13,2,2,0
8,외야수,오장한,NC,0.143,3,8,7,2,1,0,0,0,1,0,0,0
9,외야수,박영빈,NC,0,9,5,5,2,0,0,0,0,0,0,0,0
